step,loss,val_accuracy,val_macro_f1,val_weighted_f1,val_micro_f1
300.0,0.975931704044342,0.5526577247888723,0.4866388243399827,0.5480725790917987,0.5526577247888723
600.0,0.7015953063964844,0.6053154495777446,0.5409651438398586,0.6054357084067464,0.6053154495777446
900.0,0.9729721546173096,0.6092896174863388,0.5252156494231603,0.6085168004063556,0.6092896174863388
1200.0,0.7057486772537231,0.6465474416294088,0.5751313601234262,0.6479349168693643,0.6465474416294088
1500.0,0.7836849093437195,0.6686537506209638,0.594653971446709,0.6703330430546344,0.6686537506209638
1800.0,0.8888494968414307,0.6276701440635867,0.579088817333758,0.6325752257030763,0.6276701440635867
2100.0,0.7885639071464539,0.6532538499751614,0.601771017420552,0.6617533855409481,0.6532538499751614
2400.0,0.7394610047340393,0.6661698956780924,0.6104427381368543,0.6718114406387694,0.6661698956780924
2700.0,0.5941677093505859,0.6947342275211128,0.6317737321878656,0.6971403339236809,0.6947342275211128
3000.0,0.5881847143173218,0.7034277198211625,0.6326987842926449,0.706274396990064,0.7034277198211625
