step,loss,val_accuracy,val_macro_f1,val_weighted_f1,val_micro_f1
300.0,0.9755249619483948,0.5531544957774466,0.4867474377416861,0.5485255698642126,0.5531544957774466
600.0,0.7030777931213379,0.6043219076005961,0.5397266114953168,0.6042499738416991,0.6043219076005961
900.0,0.9712090492248535,0.6058122205663189,0.522521929418835,0.6055992676267583,0.6058122205663189
1200.0,0.7117856740951538,0.6470442126179831,0.5745990476805223,0.6486330821226306,0.6470442126179831
1500.0,0.7744698524475098,0.6693989071038251,0.5953279443004562,0.6708367980806799,0.6693989071038251
1800.0,0.9084334373474121,0.6249379036264282,0.5736430695950472,0.6294845959724984,0.6249379036264282
2100.0,0.8152931332588196,0.6477893691008445,0.5927651569487327,0.6565371263152107,0.6477893691008445
2400.0,0.7024515271186829,0.6666666666666666,0.6100641604454546,0.6714087827167956,0.6666666666666666
2700.0,0.5852691531181335,0.7014406358668653,0.6383734778692751,0.7026592674322929,0.7014406358668653
3000.0,0.5828287601470947,0.7098857426726279,0.6374931651898749,0.7114719335520701,0.7098857426726279
