step,loss,val_accuracy,val_macro_f1,val_weighted_f1,val_micro_f1
300.0,0.8202840685844421,0.5628451513143362,0.49663836399332806,0.5647668374548586,0.5628451513143362
600.0,1.0094313621520996,0.5210956483322289,0.4565717048427482,0.5297655037175691,0.5210956483322289
900.0,0.9922369718551636,0.5619615639496355,0.5041003066397064,0.5729368019370823,0.5619615639496355
1200.0,1.0913701057434082,0.5942125027612105,0.49975655544727243,0.6008135102191132,0.5942125027612105
1500.0,0.7537133097648621,0.6288933068257124,0.5426176942979661,0.6312724972266043,0.6288933068257124
1800.0,0.8461675643920898,0.6463441572785509,0.5691015615874094,0.6506853178147646,0.6463441572785509
2100.0,0.6160462498664856,0.6819085487077535,0.5977368210828352,0.6815889424261249,0.6819085487077535
2400.0,0.9058384895324707,0.6375082836315441,0.5615277108758421,0.6415904069991473,0.6375082836315441
2700.0,0.7943211793899536,0.6339739341727413,0.566006784904117,0.6454424789638714,0.6339739341727413
3000.0,0.7389674186706543,0.6757234371548487,0.6042287302138616,0.6815639978283449,0.6757234371548487
