step,loss,val_accuracy,val_macro_f1,val_weighted_f1,val_micro_f1,prompt_interaction_mean_0,prompt_interaction_mean_1,prompt_route_mean_0,prompt_route_mean_1,prompt_route_mean_2,prompt_route_mean_3,prompt_route_mean_4,prompt_route_mean_5,prompt_route_mean_6,prompt_route_mean_7,prompt_token_weight_0,prompt_token_weight_1,prompt_token_weight_2,prompt_token_weight_3,prompt_token_weight_4,prompt_token_weight_5,prompt_token_weight_6,prompt_token_weight_7
300.0,0.8087921738624573,0.5867142220240749,0.5143910274273624,0.5943134104791287,0.5867142220240749,0.43555039167404175,0.5294957756996155,0.12602229416370392,0.11579747498035431,0.12570568919181824,0.11443492025136948,0.1319582462310791,0.1205766499042511,0.13176868855953217,0.1337360292673111,0.1266779750585556,0.12456531077623367,0.12369929254055023,0.1265127956867218,0.12498506158590317,0.1249862089753151,0.12350510060787201,0.12506824731826782
600.0,0.8825671076774597,0.620820329915292,0.5170643434184323,0.6119498861334268,0.620820329915292,0.4075582027435303,0.4843754768371582,0.1170913428068161,0.12341391295194626,0.13655003905296326,0.1356998234987259,0.12691938877105713,0.12004885822534561,0.11476273089647293,0.12551388144493103,0.12661829590797424,0.12440043687820435,0.12386079877614975,0.12670069932937622,0.12505696713924408,0.12508606910705566,0.12318597733974457,0.12509062886238098
900.0,0.9622528553009033,0.6321890325456977,0.5361452704074179,0.6333570388866044,0.6321890325456977,0.38972365856170654,0.44663411378860474,0.12179050594568253,0.11772315204143524,0.16090278327465057,0.12933243811130524,0.11578680574893951,0.12119618058204651,0.11576971411705017,0.11749841272830963,0.1262972205877304,0.12440593540668488,0.12396637350320816,0.12695416808128357,0.12514755129814148,0.1247035339474678,0.12323246896266937,0.12529273331165314
1200.0,1.083814263343811,0.6179224253232278,0.5414032856055301,0.6302919113541164,0.6179224253232278,0.38303032517433167,0.41676148772239685,0.11583903431892395,0.11295515298843384,0.11354731023311615,0.1268319934606552,0.1317940354347229,0.1171441599726677,0.11614670604467392,0.16574160754680634,0.12640228867530823,0.1238427460193634,0.1244535744190216,0.12663236260414124,0.1252465844154358,0.12500472366809845,0.12319981306791306,0.12521786987781525
1500.0,0.8409298062324524,0.6341952741863576,0.551274975450283,0.63629131526474,0.6341952741863576,0.43820276856422424,0.47115370631217957,0.1346619725227356,0.12312139570713043,0.11644147336483002,0.13774272799491882,0.10970053821802139,0.12175920605659485,0.13272136449813843,0.12385131418704987,0.12664207816123962,0.12356378138065338,0.12411770224571228,0.12670032680034637,0.12492933124303818,0.12529855966567993,0.12410815805196762,0.12464011460542679
1800.0,0.7111853361129761,0.654703522068658,0.5758154612250164,0.6594865334794845,0.654703522068658,0.49181118607521057,0.5163470506668091,0.112967349588871,0.12829545140266418,0.15366734564304352,0.12280888855457306,0.12433501332998276,0.11582431197166443,0.12410305440425873,0.11799859255552292,0.12707698345184326,0.1241069957613945,0.12374011427164078,0.12584325671195984,0.12486725300550461,0.1250516027212143,0.123575359582901,0.12573844194412231
2100.0,0.9610574245452881,0.6370931787784218,0.5822553201838219,0.6475241651072228,0.6370931787784218,0.4541163742542267,0.45354628562927246,0.1268787384033203,0.13076342642307281,0.1284358650445938,0.12484686821699142,0.12334316968917847,0.11929503083229065,0.12163841724395752,0.1247984990477562,0.12670737504959106,0.12343820929527283,0.12412530183792114,0.1254928857088089,0.12387052178382874,0.12510129809379578,0.12384190410375595,0.12742255628108978
2400.0,1.1311707496643066,0.5938475256353098,0.5222206003017732,0.6057580953868374,0.5938475256353098,0.44855713844299316,0.46365517377853394,0.12366040050983429,0.12233365327119827,0.11906644701957703,0.12165416777133942,0.1275625377893448,0.12203513085842133,0.12376829981803894,0.13991937041282654,0.12667812407016754,0.12341313809156418,0.12416552752256393,0.12484631687402725,0.12445531040430069,0.12516313791275024,0.12399481981992722,0.12728361785411835
2700.0,0.6906482577323914,0.6237182345073562,0.5527514731886071,0.6276262243493013,0.6237182345073562,0.4034368097782135,0.420775830745697,0.1327725052833557,0.11904121190309525,0.12665608525276184,0.11823543906211853,0.1276453733444214,0.1217753067612648,0.12688066065311432,0.12699344754219055,0.1267830729484558,0.12339674681425095,0.12425796687602997,0.12451551109552383,0.12441728264093399,0.12537053227424622,0.12382390350103378,0.12743492424488068
3000.0,0.9190575480461121,0.6065537226928222,0.5419482137097538,0.6297311107539418,0.6065537226928222,0.41518035531044006,0.41980400681495667,0.12212025374174118,0.12154851108789444,0.12042826414108276,0.12225359678268433,0.12421436607837677,0.12256298214197159,0.12345513701438904,0.1434168815612793,0.12705641984939575,0.12354101985692978,0.12413938343524933,0.1250937283039093,0.12376207858324051,0.12490243464708328,0.12368680536746979,0.12781812250614166
