step,loss,val_accuracy,val_macro_f1,val_weighted_f1,val_micro_f1
300.0,0.814024031162262,0.534909412284578,0.47709117766658843,0.5386461717711408,0.534909412284578
600.0,1.3325635194778442,0.5998674326115776,0.49993677223955796,0.6065526992602986,0.5998674326115776
900.0,1.035566806793213,0.58285461776403,0.5001710314770286,0.5849401398707513,0.58285461776403
1200.0,1.034613013267517,0.6226248342907644,0.5310592575010197,0.6265983186927744,0.6226248342907644
1500.0,0.6909760236740112,0.6495802032699955,0.5608383338288166,0.6509488744932957,0.6495802032699955
1800.0,0.7872112393379211,0.6319045514803359,0.567772459768652,0.640543702621967,0.6319045514803359
2100.0,0.7107422351837158,0.6606274856385329,0.5867840577558856,0.6700169820607293,0.6606274856385329
2400.0,0.8545481562614441,0.6157755192222714,0.528010936760052,0.6100013107248061,0.6157755192222714
2700.0,0.9611400961875916,0.6661511268228016,0.5814792208016634,0.6702639576873967,0.6661511268228016
3000.0,0.7635561227798462,0.6617322138753866,0.5980912655323594,0.6689928744032566,0.6617322138753866
