step,loss,val_accuracy,val_macro_f1,val_weighted_f1,val_micro_f1
300.0,0.9864366054534912,0.5669045495093666,0.49366489555731985,0.5671701926836689,0.5669045495093666
600.0,1.3052153587341309,0.5544157002676182,0.47774760117734005,0.5733894524408637,0.5544157002676182
900.0,0.7316533923149109,0.6570026761819804,0.5598985067269839,0.6542496594162324,0.6570026761819804
1200.0,1.1332581043243408,0.6342551293487957,0.5627359679724646,0.6432026801200598,0.6342551293487957
1500.0,0.6312588453292847,0.631578947368421,0.5506138071296574,0.6320974614864575,0.631578947368421
1800.0,1.3277993202209473,0.6008028545941124,0.5099036120327125,0.6005421944524072,0.6008028545941124
2100.0,0.5523133277893066,0.656556645851918,0.5958293059507809,0.6678770061315829,0.656556645851918
2400.0,0.7627159357070923,0.6558876003568243,0.5935207212691207,0.6660656595317637,0.6558876003568243
2700.0,0.7768141031265259,0.6741748438893844,0.6025535422210738,0.6815952561292,0.6741748438893844
3000.0,0.730595052242279,0.6837644959857271,0.6185276985208488,0.6865159944401947,0.6837644959857271
