step,loss,val_accuracy,val_macro_f1,val_weighted_f1,val_micro_f1,prompt_interaction_mean_0,prompt_interaction_mean_1,prompt_route_mean_0,prompt_route_mean_1,prompt_route_mean_2,prompt_route_mean_3,prompt_route_mean_4,prompt_route_mean_5,prompt_route_mean_6,prompt_route_mean_7,prompt_token_weight_0,prompt_token_weight_1,prompt_token_weight_2,prompt_token_weight_3,prompt_token_weight_4,prompt_token_weight_5,prompt_token_weight_6,prompt_token_weight_7
300.0,1.0188310146331787,0.5559203326767345,0.49254974114313893,0.5717555244667439,0.5559203326767345,0.5724234580993652,0.6365187168121338,0.12510325014591217,0.08983256667852402,0.1289384514093399,0.07034280151128769,0.04484287649393082,0.21569721400737762,0.15999874472618103,0.16524410247802734,0.1266372799873352,0.12442845106124878,0.1236938014626503,0.12657344341278076,0.12485207617282867,0.12511704862117767,0.12367714941501617,0.12502066791057587
600.0,0.7242816686630249,0.5874370759465967,0.525663483013806,0.6044740596955125,0.5874370759465967,0.6800286173820496,0.6562002301216125,0.24731309711933136,0.09715739637613297,0.08758567273616791,0.08634123206138611,0.09353995323181152,0.11932289600372314,0.07733020931482315,0.19140952825546265,0.12605850398540497,0.12426939606666565,0.12390615791082382,0.12651219964027405,0.12521085143089294,0.12505918741226196,0.124010369181633,0.12497338652610779
900.0,0.9547544717788696,0.636025388487634,0.5567373133672366,0.6363294530261586,0.636025388487634,0.6749947667121887,0.670076310634613,0.23278068006038666,0.08178102970123291,0.09632131457328796,0.1339968740940094,0.10475312173366547,0.09287843108177185,0.10556487739086151,0.15192370116710663,0.12682251632213593,0.12437168508768082,0.12447867542505264,0.1265096664428711,0.12440045922994614,0.12483158707618713,0.12373830378055573,0.12484706193208694
1200.0,0.9005826115608215,0.6244254760341431,0.5211890241644449,0.6288730055757211,0.6244254760341431,0.66774982213974,0.6651002168655396,0.06606952846050262,0.0087962057441473,0.07112102210521698,0.2810363173484802,0.05821526423096657,0.2129250466823578,0.00020295620197430253,0.30163368582725525,0.1274797022342682,0.12427669763565063,0.12452290207147598,0.12698057293891907,0.12412115186452866,0.12456516176462173,0.12308336794376373,0.12497047334909439
1500.0,1.0037106275558472,0.6261764062158022,0.5448288809832906,0.6273863867713589,0.6261764062158022,0.6376469731330872,0.6521880030632019,0.09681792557239532,0.5459755659103394,0.0648118257522583,0.07271204143762589,0.051891472190618515,0.04307735711336136,0.06142135709524155,0.0632924810051918,0.12850941717624664,0.12454699724912643,0.12495490163564682,0.12645849585533142,0.12405579537153244,0.12387403845787048,0.12365719676017761,0.12394314259290695
1800.0,0.3331584632396698,0.6515648938498577,0.5741066113426204,0.6531037095534581,0.6515648938498577,0.45191502571105957,0.4665427505970001,0.49505186080932617,0.006492224056273699,0.003199616214260459,0.003909848164767027,0.0035527085419744253,0.47207364439964294,0.00338974897749722,0.012330415658652782,0.12804549932479858,0.12527720630168915,0.1246967539191246,0.12600161135196686,0.12374332547187805,0.1243325024843216,0.12432654947042465,0.12357662618160248
2100.0,0.5200222730636597,0.6487196323046619,0.5694349495814103,0.6535049543006661,0.6487196323046619,0.4509357810020447,0.4542996883392334,0.019701769575476646,0.04086172953248024,0.01449422538280487,0.2226829081773758,0.017837107181549072,0.20552237331867218,0.4619879424571991,0.01691192016005516,0.12745210528373718,0.12532521784305573,0.12549439072608948,0.12567874789237976,0.12313073128461838,0.12432262301445007,0.12511561810970306,0.12348055094480515
2400.0,1.0349833965301514,0.6327423943970234,0.5450209831351623,0.6397290548002885,0.6327423943970234,0.5188084840774536,0.5341532230377197,0.13596045970916748,0.20971965789794922,0.21443428099155426,0.1511823982000351,0.06684829294681549,0.13951829075813293,0.04114851728081703,0.0411880761384964,0.12704041600227356,0.12492447346448898,0.12508191168308258,0.12684887647628784,0.12347187101840973,0.12468177825212479,0.1244756430387497,0.12347494065761566
2700.0,0.8362279534339905,0.6657912015758372,0.5839633280833638,0.6673452580124998,0.6657912015758372,0.590543806552887,0.6051986217498779,0.016443658620119095,0.029856044799089432,0.3986680507659912,0.00914154201745987,0.17546312510967255,0.011847684159874916,0.15943804383277893,0.19914186000823975,0.12680454552173615,0.12477461248636246,0.1244836077094078,0.12734490633010864,0.12303788959980011,0.1247517541050911,0.124960757791996,0.12384197115898132
3000.0,0.9831703901290894,0.6408404464871963,0.5676908472457689,0.6496270039549251,0.6408404464871963,0.5722289085388184,0.5748772621154785,0.1732647866010666,0.13443170487880707,0.22739019989967346,0.14721214771270752,0.06914105266332626,0.13785764575004578,0.04690134525299072,0.0638011172413826,0.12608809769153595,0.12611614167690277,0.12486041337251663,0.12597623467445374,0.12395395338535309,0.12606091797351837,0.12398317456245422,0.12296109646558762
