Model,03池州,04青阳,06铜陵,08泾县,10南陵,11黄山,12宁国,14溧水,Mean
RC-MemNet,0.7177021040974529,0.7139940987124462,0.686484055600981,0.5397471382197164,0.6755735522520523,0.604704275152684,0.6589836888331242,0.607859778597786,0.6506310864332804
w/o Prompt Routing,0.7192063492063494,0.7235568669527896,0.6781602616516761,0.539210661199385,0.6725404925671178,0.5935374477659916,0.6290715181932247,0.6138068880688806,0.6461363107006769
w/o Adaptive RGMA Write,0.7211830933923958,0.7160541845493562,0.6814472608340145,0.5465778233384588,0.7096782782338584,0.6184635165541628,0.6374153074027603,0.5989114391143913,0.6537163629274247
