Model,03池州,04青阳,06铜陵,08泾县,10南陵,11黄山,12宁国,14溧水,Mean
RC-MemNet,0.6536308484335297,0.6445575466636169,0.5968241826365687,0.42835863847530686,0.6160375214473184,0.46835130564100724,0.5971233405569805,0.5619281483195437,0.5708514415217341
w/o Prompt Routing,0.6613698251080921,0.6494906645779203,0.5657931553783448,0.4310904598796998,0.607142850518947,0.44728251540153985,0.5256477245954365,0.5489540127458623,0.5545964010257303
w/o Adaptive RGMA Write,0.6593925957266592,0.6461366962093874,0.5989670652392115,0.4278133968495832,0.641739034270303,0.4657288776032682,0.5761330937692561,0.5513746039886646,0.5709106704570416
