step,loss,val_accuracy,val_macro_f1,val_weighted_f1,val_micro_f1
300.0,1.368511438369751,0.5651327002678354,0.4645315095681213,0.5615334804780301,0.5651327002678354
600.0,1.2174718379974365,0.5629413196980765,0.4702117679137758,0.5742453816385653,0.5629413196980765
900.0,1.674670934677124,0.5889943998052106,0.4945088848231934,0.6003435893640527,0.5889943998052106
1200.0,0.6937321424484253,0.6245434623813002,0.5540764635517406,0.6289023786196472,0.6245434623813002
1500.0,0.8466715812683105,0.5994643291940589,0.5213129378831209,0.6031179554733969,0.5994643291940589
1800.0,0.7314066290855408,0.629900170440711,0.5541995507464902,0.6300767077828475,0.629900170440711
2100.0,0.6944166421890259,0.6496225955685415,0.5626388154932254,0.6486246765041975,0.6496225955685415
2400.0,0.8558763861656189,0.6340394448502557,0.5339231959498858,0.6376325681336595,0.6340394448502557
2700.0,0.758976399898529,0.6376917457998539,0.5577817356668009,0.6416565277627769,0.6376917457998539
3000.0,0.4555879235267639,0.668127587046506,0.5782578525275899,0.6654522151688735,0.668127587046506
