step,loss,val_accuracy,val_macro_f1,val_weighted_f1,val_micro_f1,prompt_token_weight_0,prompt_token_weight_1,prompt_token_weight_2,prompt_token_weight_3,prompt_token_weight_4,prompt_token_weight_5,prompt_token_weight_6,prompt_token_weight_7
300.0,1.6777303218841553,0.5709763817871926,0.47756088392214135,0.5776750316582551,0.5709763817871926,0.1262715607881546,0.12431371957063675,0.12430650740861893,0.12604370713233948,0.12546151876449585,0.12402947247028351,0.12367411702871323,0.12589944899082184
600.0,1.1587811708450317,0.5889943998052106,0.4807602247138094,0.5727082109473842,0.5889943998052106,0.12618891894817352,0.12419328838586807,0.12442182004451752,0.12620942294597626,0.1255103200674057,0.12408892810344696,0.12375309318304062,0.12563417851924896
900.0,1.1260300874710083,0.6079863647431215,0.5148673382183555,0.6078096848703007,0.6079863647431215,0.1265210211277008,0.12402641028165817,0.1242055669426918,0.12584097683429718,0.12586423754692078,0.12431994825601578,0.12369997799396515,0.12552183866500854
1200.0,0.917502224445343,0.625517409301193,0.5235839338066219,0.61933098691282,0.625517409301193,0.1260174810886383,0.12348318845033646,0.1238727867603302,0.12611566483974457,0.12542174756526947,0.12432274967432022,0.12497466802597046,0.12579166889190674
1500.0,0.5736883282661438,0.5936206476747017,0.5187458246579,0.6050546451458972,0.5936206476747017,0.12616024911403656,0.1234423965215683,0.12372694909572601,0.1264849305152893,0.12487327307462692,0.12445584684610367,0.12539106607437134,0.12546531856060028
1800.0,0.5284083485603333,0.668127587046506,0.586450667593597,0.6667913833261564,0.668127587046506,0.1266922801733017,0.12339011579751968,0.12342283129692078,0.12600652873516083,0.12483090162277222,0.12411534786224365,0.12569810450077057,0.12584391236305237
2100.0,0.872023344039917,0.6074993912831751,0.5518093941677421,0.6170492220242285,0.6074993912831751,0.12582744657993317,0.12367572635412216,0.12260715663433075,0.12769265472888947,0.1254347264766693,0.12449823319911957,0.12411864846944809,0.12614546716213226
2400.0,0.44906139373779297,0.6235695154614074,0.5264603455915025,0.6231046748319449,0.6235695154614074,0.1261194944381714,0.12373398244380951,0.12287183105945587,0.12788642942905426,0.12498954683542252,0.12455997616052628,0.1244443953037262,0.12539434432983398
2700.0,0.7696854472160339,0.6742147552958364,0.5971244554534174,0.6723449054236064,0.6742147552958364,0.1262907236814499,0.12436072528362274,0.1228761225938797,0.12784720957279205,0.12480398267507553,0.12400655448436737,0.12410059571266174,0.12571413815021515
3000.0,0.8790498375892639,0.6488921353786219,0.5622496568345233,0.6536233605169627,0.6488921353786219,0.1253201812505722,0.1253454089164734,0.12285704165697098,0.1268922984600067,0.1250838041305542,0.12412931025028229,0.12452778965234756,0.12584415078163147
