step,loss,val_accuracy,val_macro_f1,val_weighted_f1,val_micro_f1,prompt_route_mean_0,prompt_route_mean_1,prompt_route_mean_2,prompt_route_mean_3,prompt_route_mean_4,prompt_route_mean_5,prompt_route_mean_6,prompt_route_mean_7,prompt_token_weight_0,prompt_token_weight_1,prompt_token_weight_2,prompt_token_weight_3,prompt_token_weight_4,prompt_token_weight_5,prompt_token_weight_6,prompt_token_weight_7
300.0,1.751328706741333,0.5777940102264426,0.4753795780819518,0.5802813374961794,0.5777940102264426,0.09093719720840454,0.09949296712875366,0.10297183692455292,0.1691555380821228,0.08279002457857132,0.15558865666389465,0.15489216148853302,0.1441716104745865,0.1261817365884781,0.12433891743421555,0.12446480244398117,0.12624193727970123,0.1252911239862442,0.12417897582054138,0.12346526980400085,0.12583723664283752
600.0,1.0633282661437988,0.5726807888970051,0.4855461235726857,0.5633384056723256,0.5726807888970051,0.36224615573883057,0.2595008611679077,3.3559888834133744e-05,3.285613638581708e-05,0.11986558884382248,0.2582656443119049,8.30244243843481e-06,4.7043999074958265e-05,0.12589848041534424,0.12448615580797195,0.12463317066431046,0.12607638537883759,0.12514205276966095,0.12442637234926224,0.1233583316206932,0.12597909569740295
900.0,1.0521585941314697,0.6113951789627465,0.521910158831808,0.6135694252980691,0.6113951789627465,0.0015437500551342964,0.02243015542626381,0.008446769788861275,0.0007208596798591316,0.9234910011291504,0.03495321050286293,0.0007259101839736104,0.0076883151195943356,0.12626808881759644,0.12424883246421814,0.12480919063091278,0.12627169489860535,0.12517651915550232,0.12488843500614166,0.12288758158683777,0.12544962763786316
1200.0,0.8047428131103516,0.615290966642318,0.5292444860896608,0.6120462863908132,0.615290966642318,1.4988024304329883e-05,9.868117558653466e-06,1.0157869837712497e-05,0.09819052368402481,1.0934996680589393e-05,3.140041371807456e-05,0.9017206430435181,1.1490770702948794e-05,0.1257261037826538,0.12429385632276535,0.12504202127456665,0.12614688277244568,0.12552890181541443,0.12450088560581207,0.1229696124792099,0.12579166889190674
1500.0,0.6987062692642212,0.5948380813245678,0.5127767497841211,0.6022317628341805,0.5948380813245678,0.0653594583272934,0.4677167534828186,0.058418627828359604,0.09830519556999207,0.029838258400559425,0.03733295202255249,0.10464252531528473,0.13838624954223633,0.12585651874542236,0.12445104867219925,0.12531617283821106,0.12540972232818604,0.12535491585731506,0.12447245419025421,0.12293632328510284,0.12620282173156738
1800.0,0.4994605779647827,0.6537618699780862,0.5765313907288458,0.6533276329428763,0.6537618699780862,1.0153917173738591e-05,0.263243168592453,0.11637374758720398,9.477096682530828e-06,0.00020418333588168025,0.45070427656173706,1.2117860023863614e-05,0.16944289207458496,0.12569990754127502,0.12364833801984787,0.12655673921108246,0.12608438730239868,0.12487663328647614,0.12293176352977753,0.12356975674629211,0.12663252651691437
2100.0,0.8957537412643433,0.6065254443632822,0.5411482234054427,0.6122276230840886,0.6065254443632822,6.765962461940944e-05,0.3441234529018402,0.04953831434249878,6.913692050147802e-05,1.938109016919043e-05,0.6061255931854248,3.2940890378085896e-05,2.3555970983579755e-05,0.12683889269828796,0.12427884340286255,0.12664945423603058,0.12494990974664688,0.12430766224861145,0.12288995087146759,0.12270798534154892,0.12737728655338287
2400.0,0.5429588556289673,0.6216216216216216,0.530334816025333,0.6183378949557339,0.6216216216216216,0.000276590435532853,1.6735290046199225e-05,2.283395042468328e-05,0.45212671160697937,0.07649935781955719,0.13759084045886993,0.1645655781030655,0.16890135407447815,0.12774959206581116,0.12429283559322357,0.12667882442474365,0.1253606677055359,0.12408015877008438,0.1227535530924797,0.12297007441520691,0.12611433863639832
2700.0,0.8282314538955688,0.6564402240077916,0.5907155669541896,0.6606598906148223,0.6564402240077916,0.17053480446338654,0.243113175034523,0.00028304397710599005,0.041488781571388245,5.211794632486999e-05,0.1805555373430252,0.16652853786945343,0.19744403660297394,0.12704892456531525,0.12410849332809448,0.1264401227235794,0.12518912553787231,0.1244017481803894,0.12367788702249527,0.12307538837194443,0.12605828046798706
3000.0,1.0435895919799805,0.6445093742391039,0.5556749916342631,0.6451865764192578,0.6445093742391039,0.1382187306880951,1.8193168216384947e-05,0.1865708827972412,2.9643881134688854e-05,3.305206337245181e-05,0.31027132272720337,0.11997729539871216,0.24488091468811035,0.12675544619560242,0.12424016743898392,0.12694771587848663,0.1243082731962204,0.1247439980506897,0.12484259903430939,0.12300422042608261,0.12515753507614136
