step,loss,val_accuracy,val_macro_f1,val_weighted_f1,val_micro_f1
300.0,1.698979377746582,0.542244947650353,0.4586503977760212,0.5573624637601206,0.542244947650353
600.0,1.1819044351577759,0.580472364256148,0.4856528228510251,0.576476605985162,0.580472364256148
900.0,0.9824695587158203,0.611882152422693,0.5240822166723125,0.6169630180817289,0.611882152422693
1200.0,0.8390945196151733,0.6135865595325055,0.5204546426090824,0.6077647244158846,0.6135865595325055
1500.0,0.6283827424049377,0.6104212320428537,0.5357313221194815,0.6240892774241861,0.6104212320428537
1800.0,0.59886634349823,0.6610664718772827,0.5864464754417115,0.6622852250401329,0.6610664718772827
2100.0,0.8671589493751526,0.6169953737521305,0.551532005565849,0.6232282133389454,0.6169953737521305
2400.0,0.3579081892967224,0.6542488434380326,0.5731758570485979,0.6570952877871369,0.6542488434380326
2700.0,0.7896242737770081,0.6593620647674702,0.6027120884949687,0.6701734933646534,0.6593620647674702
3000.0,1.2732858657836914,0.669345020696372,0.5960946636422176,0.6730556477157633,0.669345020696372
