step,loss,val_accuracy,val_macro_f1,val_weighted_f1,val_micro_f1,prompt_route_mean_0,prompt_route_mean_1,prompt_route_mean_2,prompt_route_mean_3,prompt_route_mean_4,prompt_route_mean_5,prompt_route_mean_6,prompt_route_mean_7,prompt_token_weight_0,prompt_token_weight_1,prompt_token_weight_2,prompt_token_weight_3,prompt_token_weight_4,prompt_token_weight_5,prompt_token_weight_6,prompt_token_weight_7
300.0,0.9366428852081299,0.5502806361085126,0.46934205150990266,0.5581201548560503,0.5502806361085126,0.12262046337127686,0.20512579381465912,0.1719394028186798,0.04504495486617088,0.1829262375831604,0.1207190677523613,0.03106827288866043,0.12055578082799911,0.126301571726799,0.12433014065027237,0.12444882839918137,0.12605123221874237,0.12523864209651947,0.12432294338941574,0.12356626987457275,0.1257404386997223
600.0,1.133602499961853,0.5708606173994387,0.47872465257887176,0.5794077052212766,0.5708606173994387,0.004048310220241547,0.002951195230707526,0.004096020478755236,0.2538623511791229,0.00644856970757246,0.21283701062202454,0.2583598792552948,0.2573966681957245,0.12618611752986908,0.12449826300144196,0.1249125599861145,0.12567810714244843,0.12527941167354584,0.12422496825456619,0.12382815778255463,0.12539251148700714
900.0,1.0086067914962769,0.5671188026192704,0.500450074669353,0.5874991233459228,0.5671188026192704,0.12964199483394623,0.13399502635002136,0.13613781332969666,5.649183003697544e-05,0.14029604196548462,0.15388542413711548,0.1551322638988495,0.1508549451828003,0.12676963210105896,0.12398980557918549,0.124881312251091,0.1250578761100769,0.12572063505649567,0.12432228773832321,0.12393227219581604,0.12532615661621094
1200.0,0.9052181243896484,0.5895696913002806,0.5311178065183195,0.6032346393244771,0.5895696913002806,0.19476324319839478,0.014076059684157372,0.00034044263884425163,0.20819519460201263,0.0012551688123494387,0.19395972788333893,0.0004674303636420518,0.3869427442550659,0.12660659849643707,0.12392021715641022,0.12497255206108093,0.12497875094413757,0.12555786967277527,0.12522098422050476,0.12336346507072449,0.1253795623779297
1500.0,0.7675971984863281,0.6368101028999065,0.5353540191385019,0.6343328257506781,0.6368101028999065,0.1887476146221161,0.3417322337627411,0.000634850119240582,0.2361561357975006,0.2284543216228485,0.0015891469083726406,0.0006742467521689832,0.002011468168348074,0.12645511329174042,0.12349969148635864,0.1254497617483139,0.12516248226165771,0.12604233622550964,0.12499575316905975,0.12357595562934875,0.12481889873743057
1800.0,0.5515008568763733,0.6405519176800748,0.5694348957983365,0.648497429485292,0.6405519176800748,8.253501437138766e-05,0.00012540369061753154,7.467953400919214e-05,8.900079410523176e-05,6.41100705252029e-05,8.044772403081879e-05,7.129170990083367e-05,0.9994125962257385,0.12735015153884888,0.12456158548593521,0.12427187711000443,0.12598641216754913,0.12514258921146393,0.12396504729986191,0.12364167720079422,0.1250806599855423
2100.0,0.5166717767715454,0.6711880261927035,0.6001517296301138,0.673779140546488,0.6711880261927035,0.0002136608527507633,0.0002753918815869838,0.00012519629672169685,0.0002382056409260258,0.00015144252392929047,0.00016025610966607928,0.00012242657248862088,0.9987133741378784,0.12765958905220032,0.12331585586071014,0.1254601925611496,0.12549051642417908,0.12469097226858139,0.12436772882938385,0.12413543462753296,0.12487972527742386
2400.0,0.8233964443206787,0.6538821328344246,0.5719482147634336,0.6566011262148876,0.6538821328344246,0.9783419370651245,1.045129693011404e-06,6.781020829293993e-07,0.002983208978548646,3.4102308177352825e-07,0.008054855279624462,0.010616205632686615,1.6794006114650983e-06,0.12702767550945282,0.12423546612262726,0.12571187317371368,0.12556639313697815,0.12381116300821304,0.12520283460617065,0.12382376194000244,0.12462083250284195
2700.0,0.6740288734436035,0.5799812909260992,0.5051554543767011,0.5818801104796779,0.5799812909260992,1.3035022448093514e-06,0.6754381656646729,0.2235158234834671,8.715267085790401e-07,1.9296032860438572e-06,1.3510070857591927e-06,1.2353107194940094e-06,0.1010393276810646,0.12613189220428467,0.12391959130764008,0.12570947408676147,0.125710591673851,0.12376479059457779,0.1257408857345581,0.12435482442378998,0.12466798722743988
3000.0,0.8404480814933777,0.6779700654817586,0.5855712211728109,0.673691803637167,0.6779700654817586,0.24001315236091614,4.0533400351705495e-06,0.1977684050798416,0.22344759106636047,4.3594227463472635e-06,4.273889771866379e-06,0.17056536674499512,0.1681927591562271,0.12596158683300018,0.12464531511068344,0.12515932321548462,0.12485980242490768,0.12479054182767868,0.124918133020401,0.1248052567243576,0.12485998868942261
