step,loss,val_accuracy,val_macro_f1,val_weighted_f1,val_micro_f1,prompt_token_weight_0,prompt_token_weight_1,prompt_token_weight_2,prompt_token_weight_3,prompt_token_weight_4,prompt_token_weight_5,prompt_token_weight_6,prompt_token_weight_7
300.0,1.4578508138656616,0.5751226036558181,0.4692109449277656,0.5775499912775355,0.5751226036558181,0.1260269731283188,0.12486056983470917,0.12421607971191406,0.1255047619342804,0.124943308532238,0.1249094009399414,0.12510524690151215,0.12443362176418304
600.0,1.0700359344482422,0.5769059295586269,0.500134188954299,0.5878792238394803,0.5769059295586269,0.12583336234092712,0.12491929531097412,0.1241084635257721,0.12562930583953857,0.12495440989732742,0.12500831484794617,0.12497147172689438,0.12457535415887833
900.0,1.228577733039856,0.5991975033437361,0.5324943511607959,0.6067349256316025,0.5991975033437361,0.12569861114025116,0.12502798438072205,0.12434232234954834,0.12574096024036407,0.12456466257572174,0.1249934658408165,0.12526951730251312,0.12436249107122421
1200.0,1.2713299989700317,0.582032991529202,0.48046492718059813,0.5897833174007318,0.582032991529202,0.12535260617733002,0.125161275267601,0.12457264959812164,0.12566164135932922,0.12459763139486313,0.12499725818634033,0.12529852986335754,0.12435846775770187
1500.0,1.1357338428497314,0.6495764600980829,0.5728375535423277,0.6544333655985541,0.6495764600980829,0.12570109963417053,0.12510500848293304,0.12501025199890137,0.1253558099269867,0.1240161657333374,0.12512564659118652,0.12529996037483215,0.12438603490591049
1800.0,0.6847537159919739,0.6576014266607223,0.5840279759977264,0.6585488344095415,0.6576014266607223,0.12592659890651703,0.12530072033405304,0.1248873919248581,0.12518823146820068,0.123942069709301,0.12492441385984421,0.12553097307682037,0.12429957091808319
2100.0,1.3730450868606567,0.6678555506018725,0.5910237952485321,0.6677017193825447,0.6678555506018725,0.12605994939804077,0.12511056661605835,0.12470973283052444,0.12485431879758835,0.12489159405231476,0.1254103183746338,0.12490568310022354,0.12405779957771301
2400.0,0.9860453009605408,0.5976370931787784,0.5500952816815787,0.6079776617537249,0.5976370931787784,0.12628310918807983,0.1249968633055687,0.12475503981113434,0.12502078711986542,0.12479697912931442,0.1253902167081833,0.12570984661579132,0.12304716557264328
2700.0,0.9987767934799194,0.6705305394560857,0.6062881633762247,0.6714639839622482,0.6705305394560857,0.12657813727855682,0.1251567006111145,0.1248113214969635,0.1249052956700325,0.12503276765346527,0.12499114125967026,0.12491335719823837,0.12361130863428116
3000.0,0.6269997358322144,0.6295140436914847,0.576606370696285,0.6372619449731544,0.6295140436914847,0.12600861489772797,0.12483973801136017,0.12539736926555634,0.12506401538848877,0.12502768635749817,0.12490016222000122,0.12452667951583862,0.12423572689294815
