step,loss,val_accuracy,val_macro_f1,val_weighted_f1,val_micro_f1
300.0,0.915627121925354,0.5399906454630495,0.4679029677559589,0.5515022139944774,0.5399906454630495
600.0,1.1053258180618286,0.5675865294667914,0.46228066060765766,0.5789700551538667,0.5675865294667914
900.0,0.8527764081954956,0.5626753975678204,0.4894132499653055,0.57811265813489,0.5626753975678204
1200.0,0.7863240838050842,0.5664172123479888,0.5039990318087139,0.5757275046769689,0.5664172123479888
1500.0,0.8445753455162048,0.632600561272217,0.5443128418133134,0.6333724866201275,0.632600561272217
1800.0,0.600242555141449,0.647801683816651,0.5675023307257059,0.6554143557713776,0.647801683816651
2100.0,0.4550044536590576,0.6606641721234799,0.5950452944834748,0.6643263097263019,0.6606641721234799
2400.0,0.670064389705658,0.6494387277829747,0.5884107135032594,0.6596491887477639,0.6494387277829747
2700.0,0.6967337131500244,0.6447614593077643,0.5642247011637673,0.6477399170032049,0.6447614593077643
3000.0,0.8250555396080017,0.686155285313377,0.603456119015505,0.6820105439255622,0.686155285313377
