step,loss,val_accuracy,val_macro_f1,val_weighted_f1,val_micro_f1
300.0,1.2168127298355103,0.5572237263106079,0.41435507531875104,0.523948991162153,0.5572237263106079
600.0,0.9795861840248108,0.6241693330051686,0.5555831839216989,0.6249928949307971,0.6241693330051686
900.0,1.4072142839431763,0.6032488309131184,0.5043099920639369,0.6086468299137303,0.6032488309131184
1200.0,0.9569336175918579,0.6423824760029535,0.5835704680181573,0.6518069340222321,0.6423824760029535
1500.0,0.9278250932693481,0.6364755107063746,0.579890290078307,0.6392455625085542,0.6364755107063746
1800.0,0.6362658739089966,0.6812699975387645,0.6068625525397673,0.6777612703237069,0.6812699975387645
2100.0,0.4196361005306244,0.667979325621462,0.6117610676267206,0.6760125391649471,0.667979325621462
2400.0,0.7283470034599304,0.6581343834604971,0.575467591533969,0.653203745991878,0.6581343834604971
2700.0,1.1267950534820557,0.6714250553777996,0.5999426822780588,0.6731248475758922,0.6714250553777996
3000.0,0.6396229863166809,0.6591188776765936,0.6162167296774571,0.6625804290657274,0.6591188776765936
