Target,accuracy,macro_f1,result_file,status,stem,val_accuracy,val_macro_f1,weighted_f1
01当涂,0.5418373702422145,0.4585060223779106,output/0722/ablation_prompt_20260723_001604/01_Dangtu/result.json,done,01_Dangtu,0.6743119266055045,0.6102671686760778,0.5520926172778267
02芜湖,0.6908684863523572,0.6058564021694121,output/0722/ablation_prompt_20260723_001604/02_Wuhu/result.json,done,02_Wuhu,0.6609982332155477,0.5881906216045654,0.698103426862134
03池州,0.7192063492063494,0.6613698251080921,output/0722/ablation_prompt_20260723_001604/03_Chizhou/result.json,done,03_Chizhou,0.6593620647674702,0.6027120884949687,0.7249544093585581
04青阳,0.7235568669527896,0.6494906645779203,output/0722/ablation_prompt_20260723_001604/04_Qingyang/result.json,done,04_Qingyang,0.686155285313377,0.603456119015505,0.7243241786639203
05孙村,0.7320590648072189,0.6558673620085986,output/0722/ablation_prompt_20260723_001604/05_Suncun/result.json,done,05_Suncun,0.6679920477137177,0.594912029643967,0.7298457837460499
06铜陵,0.6781602616516761,0.5657931553783448,output/0722/ablation_prompt_20260723_001604/06_Tongling/result.json,done,06_Tongling,0.6617322138753866,0.5980912655323594,0.685460198847627
07宣城,0.6840444810543658,0.6202907845576333,output/0722/ablation_prompt_20260723_001604/07_Xuancheng/result.json,done,07_Xuancheng,0.6803622708195273,0.6093503161168763,0.6900588430118506
08泾县,0.539210661199385,0.4310904598796998,output/0722/ablation_prompt_20260723_001604/08_Jingxian/result.json,done,08_Jingxian,0.7154811715481172,0.6413081728657394,0.5327424744166616
09繁昌,0.6995628415300545,0.6201405456358416,output/0722/ablation_prompt_20260723_001604/09_Fanchang/result.json,done,09_Fanchang,0.6864406779661016,0.6194640120793246,0.6967360274127943
10南陵,0.6725404925671178,0.607142850518947,output/0722/ablation_prompt_20260723_001604/10_Nanling/result.json,done,10_Nanling,0.672939494997618,0.603479895697156,0.674419445709164
11黄山,0.5935374477659916,0.44728251540153985,output/0722/ablation_prompt_20260723_001604/11_Huangshan/result.json,done,11_Huangshan,0.7034277198211625,0.6326987842926449,0.5852052148363143
12宁国,0.6290715181932247,0.5256477245954365,output/0722/ablation_prompt_20260723_001604/12_Ningguo/result.json,done,12_Ningguo,0.7154738454804115,0.6445053505211714,0.6214562767779531
13高淳,0.5209735576923077,0.4226378987900542,output/0722/ablation_prompt_20260723_001604/13_Gaochun/result.json,done,13_Gaochun,0.7017503978176859,0.6278512382106444,0.5257729902008548
14溧水,0.6138068880688806,0.5489540127458623,output/0722/ablation_prompt_20260723_001604/14_Lishui/result.json,done,14_Lishui,0.6921533660276415,0.6313276728968386,0.6189290992447097
