step,loss,val_accuracy,val_macro_f1,val_weighted_f1,val_micro_f1
300.0,0.9143813252449036,0.5406922357343311,0.46858100039518014,0.5520925793055838,0.5406922357343311
600.0,1.1050783395767212,0.5680542563143124,0.46285508267677705,0.5794080910482728,0.5680542563143124
900.0,0.8328734040260315,0.567820392890552,0.49965266272977005,0.5840576263675744,0.567820392890552
1200.0,0.8100858926773071,0.5624415341440598,0.5013538314161818,0.5716586879031142,0.5624415341440598
1500.0,0.8408652544021606,0.6351730589335828,0.5491909203916935,0.6368259981057779,0.6351730589335828
1800.0,0.6141344308853149,0.6552853133769878,0.582272006382602,0.6622547945584982,0.6552853133769878
2100.0,0.45951616764068604,0.6615996258185219,0.589914044282217,0.6635389955599782,0.6615996258185219
2400.0,0.6866963505744934,0.6452291861552854,0.583837726739833,0.6547841195242401,0.6452291861552854
2700.0,0.6917040944099426,0.6323666978484564,0.5509143833836975,0.6388403650367268,0.6323666978484564
3000.0,0.8978167176246643,0.6859214218896165,0.604394162280845,0.6835531563870479,0.6859214218896165
