step,loss,val_accuracy,val_macro_f1,val_weighted_f1,val_micro_f1,prompt_token_weight_0,prompt_token_weight_1,prompt_token_weight_2,prompt_token_weight_3,prompt_token_weight_4,prompt_token_weight_5,prompt_token_weight_6,prompt_token_weight_7
300.0,0.9632528424263,0.5299345182413471,0.4596493900375477,0.5432787319396318,0.5299345182413471,0.12636487185955048,0.12433617562055588,0.12420333921909332,0.1262282282114029,0.12532664835453033,0.12434839457273483,0.12350320816040039,0.12568916380405426
600.0,1.1895802021026611,0.5720299345182414,0.4809607584348773,0.5840628489578903,0.5720299345182414,0.12651626765727997,0.12398778647184372,0.12455715984106064,0.1260029524564743,0.1254751831293106,0.12434778362512589,0.12376943230628967,0.12534348666667938
900.0,0.9781973958015442,0.5615060804490177,0.49110813964443456,0.5824269117249694,0.5615060804490177,0.12625835835933685,0.12403025478124619,0.12423937767744064,0.12574785947799683,0.1251874715089798,0.12457522749900818,0.12414751946926117,0.12581391632556915
1200.0,0.9145476222038269,0.6003274087932647,0.539415524040227,0.6137700363614573,0.6003274087932647,0.1259777545928955,0.1245458796620369,0.12395705282688141,0.12484387308359146,0.12549413740634918,0.12581774592399597,0.12439288944005966,0.12497064471244812
1500.0,0.8050903677940369,0.6361085126286249,0.5353834442034549,0.6328937991306893,0.6361085126286249,0.12660112977027893,0.12398650497198105,0.12342805415391922,0.12424413859844208,0.12512698769569397,0.12541039288043976,0.1251298189163208,0.126072958111763
1800.0,0.6014540791511536,0.6393826005612722,0.5731510101829641,0.6497528404385596,0.6393826005612722,0.12677602469921112,0.12390746176242828,0.12324852496385574,0.12467747926712036,0.12534436583518982,0.12477069348096848,0.1258906126022339,0.12538482248783112
2100.0,0.5033329725265503,0.6536482694106641,0.5890390941436678,0.660118473538739,0.6536482694106641,0.12699902057647705,0.123938649892807,0.12329209595918655,0.12439358234405518,0.12498999387025833,0.12500394880771637,0.12675106525421143,0.12463166564702988
2400.0,0.752427875995636,0.6442937324602432,0.5681835294330914,0.6478240440312129,0.6442937324602432,0.12752149999141693,0.1232939139008522,0.12309519946575165,0.12638448178768158,0.12511123716831207,0.1242518424987793,0.12605662643909454,0.1242852434515953
2700.0,0.7442167401313782,0.5818521983161834,0.5113324401224119,0.5848187791324961,0.5818521983161834,0.12710987031459808,0.12418726086616516,0.12320729345083237,0.12604723870754242,0.1260238140821457,0.12379464507102966,0.1253938376903534,0.12423604726791382
3000.0,0.8066641688346863,0.6842843779232928,0.6004166341721904,0.6822172003676594,0.6842843779232928,0.12778860330581665,0.12393206357955933,0.12365255504846573,0.1259709745645523,0.1260257065296173,0.1237274631857872,0.1250603348016739,0.12384230643510818
