step,loss,val_accuracy,val_macro_f1,val_weighted_f1,val_micro_f1,prompt_token_weight_0,prompt_token_weight_1,prompt_token_weight_2,prompt_token_weight_3,prompt_token_weight_4,prompt_token_weight_5,prompt_token_weight_6,prompt_token_weight_7
300.0,0.8015621304512024,0.5380026513477685,0.4682060563632546,0.535437739981896,0.5380026513477685,0.12633343040943146,0.12424793094396591,0.12421951442956924,0.12611475586891174,0.1253625750541687,0.12438653409481049,0.12373088300228119,0.12560439109802246
600.0,1.4469050168991089,0.5598762704374723,0.48277056218511993,0.5761924901552749,0.5598762704374723,0.12610851228237152,0.12477726489305496,0.12446662783622742,0.1260310858488083,0.1253272145986557,0.12416703999042511,0.12353740632534027,0.12558479607105255
900.0,1.19206964969635,0.6018559434379143,0.5118763705178437,0.5942252731223057,0.6018559434379143,0.12659069895744324,0.12533006072044373,0.1240110844373703,0.1261768937110901,0.1253945231437683,0.12390480935573578,0.12320402264595032,0.12538789212703705
1200.0,1.181647777557373,0.605612019443217,0.49778468095122125,0.6114920597484385,0.605612019443217,0.12662141025066376,0.12528462707996368,0.12384220957756042,0.12580300867557526,0.1252845823764801,0.12435167282819748,0.12352155894041061,0.1252908706665039
1500.0,0.7667810320854187,0.6442775077330977,0.5596734555108385,0.6441469119926191,0.6442775077330977,0.12630710005760193,0.12416316568851471,0.12453766167163849,0.12541411817073822,0.12538020312786102,0.12434706836938858,0.12409882247447968,0.12575189769268036
1800.0,0.8570094704627991,0.6316836058329651,0.537728122976258,0.6357183879088804,0.6316836058329651,0.12708431482315063,0.12299282848834991,0.124873585999012,0.1251441091299057,0.12554362416267395,0.12366058677434921,0.12461010366678238,0.12609080970287323
2100.0,0.9224281907081604,0.6367653557224923,0.567375682374889,0.6427649211548833,0.6367653557224923,0.12718483805656433,0.1214318796992302,0.12460019439458847,0.12616845965385437,0.1260853409767151,0.12359941750764847,0.12484380602836609,0.1260860711336136
2400.0,0.9218257069587708,0.6411842686699072,0.5401624175041985,0.6310271340547023,0.6411842686699072,0.12751854956150055,0.12068422138690948,0.12504693865776062,0.12600915133953094,0.12655983865261078,0.12351174652576447,0.12454543262720108,0.1261240392923355
2700.0,1.1652933359146118,0.640521431727795,0.5571878387393251,0.6405574962809956,0.640521431727795,0.12666983902454376,0.12039017677307129,0.1255970001220703,0.1260107010602951,0.12715253233909607,0.1238146647810936,0.12456870079040527,0.1257963925600052
3000.0,0.8232921361923218,0.6628369421122404,0.5780868679916494,0.663088456935944,0.6628369421122404,0.1256839781999588,0.12091384083032608,0.12608210742473602,0.12560784816741943,0.12698093056678772,0.12327234447002411,0.1246914491057396,0.12676753103733063
