step,loss,val_accuracy,val_macro_f1,val_weighted_f1,val_micro_f1
300.0,1.3711365461349487,0.5646457268078889,0.46436439832952814,0.5609919556728721,0.5646457268078889
600.0,1.184922218322754,0.5568541514487461,0.46251574518994104,0.5693860843348938,0.5568541514487461
900.0,1.6595604419708252,0.5921597272948624,0.5022247396998812,0.6033760951889396,0.5921597272948624
1200.0,0.7106615900993347,0.622108595081568,0.553323074888822,0.6282885462599909,0.622108595081568
1500.0,0.8013339042663574,0.6077428780131483,0.5343575605376206,0.6125891513332777,0.6077428780131483
1800.0,0.728155255317688,0.623082542001461,0.5434331492501241,0.6246723001621161,0.623082542001461
2100.0,0.6912239789962769,0.6432919405892379,0.5592880538883864,0.6453456245309485,0.6432919405892379
2400.0,0.8523436784744263,0.6445093742391039,0.5442093283049635,0.6452042949991873,0.6445093742391039
2700.0,0.7519264817237854,0.6440224007791575,0.5611850212312088,0.6480342429413777,0.6440224007791575
3000.0,0.5465092658996582,0.6574141709276844,0.5741089545134886,0.6607278302043804,0.6574141709276844
