variant,region,status,json_path,ckpt_path,mtime,holdout_region,num_prompts,num_slots,write_top_k,ablation_variant,target_adapt_steps,eval_split_runs,accuracy_pct,accuracy_std_pct
M = 4 (Default),Jingxian,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/08_Jingxian/result.json,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/08_Jingxian/result.pt,2026-07-22 23:39:16,08泾县,8,4,1,rc_memnet,30,100,53.9747,0.412
M = 4 (Default),Chizhou,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/03_Chizhou/result.json,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/03_Chizhou/result.pt,2026-07-22 23:22:58,03池州,8,4,1,rc_memnet,30,100,71.7702,0.421
M = 8,Qingyang,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/slots_M8/04_Qingyang/result.json,N/A (Memory cache mode),2026-07-24 22:59:20,04青阳,8,8,1,rc_memnet,50,20,63.974,0.1774
M = 8,Jingxian,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/slots_M8/08_Jingxian/result.json,N/A (Memory cache mode),2026-07-24 23:00:34,08泾县,8,8,1,rc_memnet,50,20,47.2664,0.5964
M = 8,Chizhou,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/slots_M8/03_Chizhou/result.json,N/A (Memory cache mode),2026-07-24 23:01:48,03池州,8,8,1,rc_memnet,50,20,66.4101,0.1948
K = 1 (Default),Qingyang,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/04_Qingyang/result.json,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/04_Qingyang/result.pt,2026-07-22 23:26:29,04青阳,8,4,1,rc_memnet,30,100,71.3994,0.4214
K = 1 (Default),Jingxian,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/08_Jingxian/result.json,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/08_Jingxian/result.pt,2026-07-22 23:39:16,08泾县,8,4,1,rc_memnet,30,100,53.9747,0.412
K = 1 (Default),Chizhou,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/03_Chizhou/result.json,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/03_Chizhou/result.pt,2026-07-22 23:22:58,03池州,8,4,1,rc_memnet,30,100,71.7702,0.421
K = 2,Qingyang,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/topk_K2/04_Qingyang/result.json,N/A (Memory cache mode),2026-07-24 23:02:57,04青阳,8,4,2,rc_memnet,50,20,64.4206,0.4275
K = 2,Jingxian,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/topk_K2/08_Jingxian/result.json,N/A (Memory cache mode),2026-07-24 23:04:14,08泾县,8,4,2,rc_memnet,50,20,47.9634,0.3707
K = 2,Chizhou,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/topk_K2/03_Chizhou/result.json,N/A (Memory cache mode),2026-07-24 23:05:34,03池州,8,4,2,rc_memnet,50,20,67.7159,0.544
K = 4,Qingyang,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/topk_K4/04_Qingyang/result.json,N/A (Memory cache mode),2026-07-24 23:06:46,04青阳,8,4,4,rc_memnet,50,20,64.4233,0.4245
K = 4,Jingxian,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/topk_K4/08_Jingxian/result.json,N/A (Memory cache mode),2026-07-24 23:08:10,08泾县,8,4,4,rc_memnet,50,20,47.9959,0.4777
K = 4,Chizhou,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/topk_K4/03_Chizhou/result.json,N/A (Memory cache mode),2026-07-24 23:09:32,03池州,8,4,4,rc_memnet,50,20,67.7464,0.5046
